2026-07-05 07:30:29 | INFO     | __main__ | Dataset : customers
2026-07-05 07:30:29 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_customers_dataset.csv' (8.62 MB)
2026-07-05 07:30:29 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/customers/customers.csv
2026-07-05 07:30:58 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 29.10 seconds
2026-07-05 07:30:58 | INFO     | __main__ | --------------------------------
2026-07-05 07:30:58 | INFO     | __main__ | Dataset : geolocation
2026-07-05 07:30:58 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_geolocation_dataset.csv' (58.44 MB)
2026-07-05 07:30:58 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/geolocation/geolocation.csv
2026-07-05 07:31:59 | WARNING  | retail_platform.cloud.storage.gcs_uploader | Attempt 1/3 failed : ('Connection aborted.', TimeoutError('The write operation timed out'))
2026-07-05 07:31:59 | INFO     | retail_platform.cloud.storage.gcs_uploader | Retrying in 5 seconds...
2026-07-05 07:33:05 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 61.55 seconds
2026-07-05 07:33:05 | INFO     | __main__ | --------------------------------
2026-07-05 07:33:05 | INFO     | __main__ | Dataset : order_items
2026-07-05 07:33:05 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_items_dataset.csv' (14.72 MB)
2026-07-05 07:33:05 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/order_items/order_items.csv
2026-07-05 07:33:27 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 21.49 seconds
2026-07-05 07:33:27 | INFO     | __main__ | --------------------------------
2026-07-05 07:33:27 | INFO     | __main__ | Dataset : order_payments
2026-07-05 07:33:27 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_payments_dataset.csv' (5.51 MB)
2026-07-05 07:33:27 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/order_payments/order_payments.csv
2026-07-05 07:33:34 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 7.61 seconds
2026-07-05 07:33:34 | INFO     | __main__ | --------------------------------
2026-07-05 07:33:34 | INFO     | __main__ | Dataset : order_reviews
2026-07-05 07:33:34 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_reviews_dataset.csv' (13.78 MB)
2026-07-05 07:33:34 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/order_reviews/order_reviews.csv
2026-07-05 07:33:45 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 10.80 seconds
2026-07-05 07:33:45 | INFO     | __main__ | --------------------------------
2026-07-05 07:33:45 | INFO     | __main__ | Dataset : orders
2026-07-05 07:33:45 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_orders_dataset.csv' (16.84 MB)
2026-07-05 07:33:45 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/orders/orders.csv
2026-07-05 07:34:02 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 16.38 seconds
2026-07-05 07:34:02 | INFO     | __main__ | --------------------------------
2026-07-05 07:34:02 | INFO     | __main__ | Dataset : products
2026-07-05 07:34:02 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_products_dataset.csv' (2.27 MB)
2026-07-05 07:34:02 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/products/products.csv
2026-07-05 07:34:06 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 4.20 seconds
2026-07-05 07:34:06 | INFO     | __main__ | --------------------------------
2026-07-05 07:34:06 | INFO     | __main__ | Dataset : sellers
2026-07-05 07:34:06 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_sellers_dataset.csv' (0.17 MB)
2026-07-05 07:34:06 | INFO     | retail_platform.cloud.storage.gcs_uploader | Destination : gs://gcp-alshaya-medallion-data/raw/olist/sellers/sellers.csv
2026-07-05 07:34:06 | INFO     | retail_platform.cloud.storage.gcs_uploader | Upload completed in 0.54 seconds
2026-07-05 07:34:06 | INFO     | __main__ | --------------------------------
2026-07-05 07:34:06 | INFO     | __main__ | Upload Summary
2026-07-05 07:34:06 | INFO     | __main__ | Uploaded : 9
2026-07-05 07:34:06 | INFO     | __main__ | Failed   : 0
2026-07-05 07:34:06 | INFO     | __main__ | --------------------------------
